Instrument,ABBV.N,ABT.N,ADM.N,ADP.O,AFL.N,ALB.N,AOS.N,APD.N,ATO.N,BDX.N,BEN.N,BFb.N,BRO.N,CAH.N,CAT.N,CB.N,CHD.N,CHRW.O,CINF.O,CL.N,CLX.N,CTAS.O,CVX.N,DOV.N,ECL.N,ED.N,EMR.N,ESS.N,EXPD.O,FRT.N,GD.N,GPC.N,GWW.N,HRL.N,IBM.N,ITW.N,JNJ.N,KMB.N,KO.N,LIN.N,LOW.N,MCD.N,MDT.N,MKC.N,MMM.N,NDSN.O,NEE.N,NUE.N,O.N,PEP.O,PG.N,PNR.N,PPG.N,ROP.O,SHW.N,SJM.N,SPGI.N,SWK.N,SYY.N,TGT.N,TROW.O,WBA.O,WMT.N,WST.N,XOM.N
ABBV.N,6.393370962189597e-05,1.2836208360692183e-05,1.8465028283340734e-05,3.336932369128011e-05,6.41166841617434e-05,2.181386284688374e-05,3.0045724514717265e-05,2.7182045718515946e-05,3.630493777594649e-05,1.1213127776107609e-05,3.8148889278107174e-05,1.3863006145945799e-05,3.666872504645476e-05,3.7459408971034936e-05,7.864213835331734e-05,3.2187488773835765e-05,3.922278613683395e-06,-3.7960655383371074e-06,3.5286922180365125e-05,5.6076091712877e-05,-5.197257424200455e-05,5.043502489852735e-05,6.187607824141189e-05,4.69531327321223e-05,3.798989082203509e-05,2.0066201800768615e-05,5.432623575767819e-05,3.4276756272298903e-05,2.525779066594734e-06,6.296398045550582e-05,6.291860980560569e-05,4.113609238309512e-05,6.650125475855264e-05,2.831696296664472e-06,2.9119868940206356e-05,3.783798676584474e-05,2.4114679866331682e-05,3.2505884046905344e-06,2.515526572983752e-05,1.0077362294466812e-05,5.381067551565654e-05,4.523064566298687e-05,4.875622091047537e-05,-2.5037876923419626e-05,1.9260108138429308e-05,2.5453088946436078e-05,1.4003521944643298e-05,4.927001468224033e-05,2.09803026281054e-05,1.3905141022667597e-05,-1.1863563882353237e-05,2.2124682571161593e-05,1.2670077361350643e-05,2.7901857849596835e-05,7.1795090891359554e-06,1.3171186444724402e-06,8.477135635647792e-06,2.4465705034591527e-05,4.3786963583109066e-05,3.172341356257616e-05,4.0606952324838594e-05,3.0219132905707073e-05,1.1098988773530947e-05,1.067004384766056e-05,8.163500644450914e-05
ABT.N,1.2836208360692183e-05,6.197524653040868e-05,1.6266471245585844e-05,1.0760448701013533e-05,4.813109657909556e-06,-2.6554525435786982e-05,2.596794967270738e-05,-1.0659806565995185e-05,8.354073854336206e-06,4.657688988528304e-06,9.484794937508451e-06,8.601797446325773e-06,2.891886039070007e-06,-2.5983852650697997e-05,1.9993334817723056e-05,-2.8732852068861864e-05,2.6426442415748527e-05,2.7258136040287432e-06,-7.371493147265989e-06,1.972186224235318e-05,-1.7500944323183135e-05,5.0528012364090046e-05,-1.6116069488412072e-06,-1.3176063837350522e-05,-3.4585882534765427e-06,5.488293121109396e-06,8.856500221653667e-07,-3.6120356157841903e-06,1.3085933068769163e-05,2.664570538410816e-06,-2.3283672932861547e-06,2.691421725304827e-05,2.090679542555074e-05,1.8935615667044968e-05,-3.935301051813552e-06,-5.946973859284817e-06,1.2120195956289533e-05,2.171315076419175e-05,-1.0087799814268318e-05,-8.047769355360162e-06,3.380241393927049e-05,-1.2083741319863283e-05,9.383248481417689e-06,1.9446419112062035e-05,-5.231514612899596e-06,2.7293808957823865e-06,3.4656427003526056e-06,-3.468297497355825e-06,8.673254391953687e-07,7.4384210374532895e-06,1.962297214436805e-05,-1.3856518418491605e-06,1.4025964463672662e-07,1.0743192778295543e-05,2.916462092578706e-05,2.6998589394430205e-05,-6.196795533455738e-06,7.759701080587308e-06,1.7952976690680565e-05,2.4951023526923267e-05,1.6605179328566653e-05,1.4957576224130185e-05,9.996846441410819e-06,2.9791243747309337e-05,-2.9179898128239256e-06
ADM.N,1.8465028283340734e-05,1.6266471245585844e-05,0.00012566411856397152,5.87708104215056e-05,0.00012217604739156581,0.0001426370599546295,9.174373461876239e-05,4.618688940176484e-05,3.302507458717999e-05,1.650288021000306e-06,0.0001651954018492393,4.3255169231655014e-05,6.382507222639576e-05,4.612492560621586e-05,0.00010109307607593314,9.828986062440018e-05,2.3598816261857673e-05,5.06447286918402e-05,0.00015494499506151527,1.360958251754053e-05,-8.082611239935206e-05,2.777973793136347e-05,0.00010668699372352557,7.555952708158066e-05,6.199933301379654e-05,2.6298425383926344e-05,0.00010629020975494224,4.6147133241440576e-05,3.889555610315343e-05,0.00012042756558696305,8.058074307801174e-05,0.0001082777504343229,6.51907669915606e-05,1.765395942016315e-05,5.9196462999768286e-05,6.198100123924184e-05,1.9192840921246067e-05,1.4087952000083758e-05,2.6332836058136887e-05,5.450801380715666e-05,4.570436048262031e-05,5.4402680493843504e-05,6.328672661245894e-05,8.501799163574733e-06,5.680611658946262e-05,4.2700564805103824e-05,4.984954239897581e-06,0.00019397017687978427,3.9301914898024983e-05,8.077392513132198e-06,2.246565061240557e-05,0.00011182991328277736,4.837618365653358e-05,3.111823005582981e-05,1.670578864309951e-05,3.173767912777621e-05,2.122582955799679e-05,9.518165898088024e-05,0.00010953566393228789,4.010821456727264e-05,8.950679876198508e-05,5.6886652677122984e-05,1.4963641460862657e-05,4.744481918244427e-05,0.00012070805560128726
ADP.O,3.336932369128011e-05,1.0760448701013533e-05,5.87708104215056e-05,7.480700940370945e-05,8.992947248535774e-05,4.316616720346994e-05,8.108511020700558e-05,3.695912110030493e-05,5.4815338984631085e-05,4.278201804156791e-06,9.531133282947151e-05,3.537131688206721e-05,5.287693622960687e-05,1.2470103506242478e-06,6.945534501083806e-05,8.495313672551781e-05,1.12805352818445e-05,4.408451310501063e-05,8.6324086563923e-05,1.9234289454077676e-05,-0.00010961678239364598,1.782489530803883e-05,7.21431035189018e-05,7.116926782169251e-05,5.5371891045740816e-05,4.110361321096924e-05,9.797904343539615e-05,4.265761146466856e-05,2.3572673865220566e-05,0.00010935030697536408,6.044983661932534e-05,9.151384723994453e-05,5.4006106161726014e-05,1.7498231219961113e-05,4.556390652624591e-05,5.885706784130442e-05,2.887454712478518e-05,1.430504888663982e-05,4.002784914808126e-05,5.494912407264552e-05,6.313163881297294e-05,5.137099101077908e-05,4.7003828555306346e-05,5.966986577995104e-07,5.586156184099617e-05,4.3339246457092506e-05,2.7087869257442258e-05,0.00010279230473084336,4.396666323893928e-05,2.3011705214825024e-05,4.14781366054775e-05,9.606385257741937e-05,5.443688964019791e-05,4.541027749165286e-05,2.1603080840488068e-05,2.8038069898027963e-05,2.7245336994482034e-05,7.667871329557495e-05,5.724278134994626e-05,4.4070977510581e-05,7.447629917482728e-05,3.193487418950237e-05,2.756254169135142e-05,3.143038925319074e-05,7.520905189057503e-05
AFL.N,6.41166841617434e-05,4.813109657909556e-06,0.00012217604739156581,8.992947248535774e-05,0.0002098147457421668,0.0002105884648473277,0.00013703766273330775,8.29414873172903e-05,5.932571912066802e-05,-2.182155444180535e-05,0.00022977339367575826,6.113938675368466e-05,9.192089189008833e-05,2.4711837658687393e-05,0.00016614100482981935,0.0001587948975965994,-4.794641204430721e-06,6.843037932027453e-05,0.00020813795241650672,4.6168535371945895e-05,-0.0001460510224862502,8.169826070224265e-05,0.00016669602110292033,0.00015430490482548414,8.894629628094384e-05,2.4796952102659325e-05,0.00017773576911973547,8.926864279689465e-05,6.1022696978370735e-05,0.000229809315510986,0.00014479921608572102,0.00015413271994697502,0.0001287479594013655,-5.064918273716019e-06,8.842286736454702e-05,0.00010939832422615054,3.773080001765476e-05,1.7795930160149035e-06,5.5968085180174685e-05,8.04791132956057e-05,8.397077279178926e-05,9.068814895542812e-05,9.322298146168274e-05,-3.176786464246934e-05,8.482842247690796e-05,8.934204159436097e-05,1.3761262208231677e-05,0.00020706049370514977,6.795112937798706e-05,3.346543348303692e-06,1.1995889285025497e-05,0.00014294787529589058,2.408528324258597e-05,7.012701595576769e-05,6.002379073760695e-06,-9.566348632554728e-09,7.420409320921239e-05,0.00013501836848249347,0.0001735023763061011,7.650285058827318e-05,0.00015157522795616806,7.434229919316136e-05,2.7091922348542288e-05,6.964599134197214e-05,0.00019379138207747823
ALB.N,2.181386284688374e-05,-2.6554525435786982e-05,0.0001426370599546295,4.316616720346994e-05,0.0002105884648473277,0.0006304450002842637,5.902895568193578e-05,7.471138630935898e-05,4.2024522206885115e-06,-0.00016543141810344017,0.00036053416055891645,3.622906059211001e-05,8.151668025129801e-05,-0.00025180418375481665,0.00022750067441414728,0.0001485900091079248,-4.7276471163862936e-05,-3.195189461243189e-05,0.00024249948947443353,-5.228209577232664e-05,-0.00010709102493439852,5.1013341608955405e-05,0.00021525198829871542,0.00019984486181074464,5.322301525155924e-05,-6.114936120548926e-05,0.00020265029174909878,5.058593535773213e-05,6.977226606411077e-05,0.0002926946352575101,0.00012417867847411247,6.129105475080486e-05,8.101878282158128e-05,-8.459220759789979e-05,6.907455487677553e-05,6.414918875476846e-05,-3.3007994563463043e-06,-8.563932722040477e-05,-3.916436584608876e-06,8.162189434771073e-05,7.973917843246173e-05,7.512263199654767e-05,3.373645709880249e-05,-8.175351633427811e-05,6.192096136145132e-05,9.896248709110999e-05,-4.8739946781579225e-05,0.0002308971864338961,5.370790184351764e-05,-6.80966570606442e-05,-6.904936498508863e-05,2.929227911348266e-05,-5.2574843955222705e-05,3.541924828182676e-06,-6.426418339379651e-05,-8.073238100370382e-05,8.40997935301504e-05,0.0001651243889679706,0.0002382197513464345,6.759085480296776e-05,0.00022369926459910914,0.0001298186770223611,3.174541645531335e-05,7.295024342040806e-05,0.00025902993652235574
AOS.N,3.0045724514717265e-05,2.596794967270738e-05,9.174373461876239e-05,8.108511020700558e-05,0.00013703766273330775,5.902895568193578e-05,0.00015510832639488868,5.5538349941242246e-05,3.7804640864780974e-05,-5.656373240484077e-07,0.00015716732105047304,5.6874168919495604e-05,4.252349049155552e-05,6.587968925395294e-05,9.952726137490647e-05,0.00012189090331971846,-7.081645431846099e-06,9.170212434234688e-05,0.00013089484928088544,1.1244683693549118e-05,-0.00018223578937308425,4.2927972142119867e-05,0.00010376711102167545,0.00011110403304408059,6.572409568653785e-05,1.5917051702595422e-05,0.00013098203669824587,6.05814298920489e-05,5.902848994185153e-05,0.00014033434185428665,9.368191619450611e-05,0.00014065620340029006,9.093053618879428e-05,9.86475630047072e-07,7.741360560570451e-05,8.9819204116159e-05,4.127653425122686e-05,5.997202382681884e-06,3.583009995936974e-05,7.765166379988486e-05,4.905906682657414e-05,4.962489319582803e-05,6.501466662403666e-05,-8.773024053142384e-06,8.385888498097424e-05,6.683993559383281e-05,8.692247715276933e-06,0.00015561428926566794,5.535936144061075e-05,1.598519640552602e-05,4.303407891580507e-05,0.00015290146235123658,1.8337438147940778e-05,6.783505503915768e-05,2.4858904418140028e-05,6.934194155677513e-06,3.930764802258533e-05,0.00011254228872626315,0.00010708503588074845,6.811863353655532e-05,0.00010816412799353334,5.253289917364918e-05,2.5143874082472675e-05,4.187927748873783e-05,0.00011552833083940482
APD.N,2.7182045718515946e-05,-1.0659806565995185e-05,4.618688940176484e-05,3.695912110030493e-05,8.29414873172903e-05,7.471138630935898e-05,5.5538349941242246e-05,0.00018306625749669694,1.2938989152394857e-05,2.30335463392167e-05,2.7589412777200898e-05,2.7198075917560852e-05,3.281694696118319e-05,1.7809235349920052e-05,5.130078229541915e-05,6.29931805804082e-05,-1.598512968397267e-05,6.326638489018335e-05,6.63345542973241e-05,-8.68094120126427e-06,-0.00012123128822694473,3.630236198093126e-05,9.777721440747486e-05,0.00010744023317599066,6.570669234422054e-05,-3.862051563313935e-06,9.675585109081546e-05,8.047931439164323e-05,6.524969821305223e-05,0.00014452190609874776,8.653842106544896e-05,6.41598427157765e-05,4.205119905441598e-05,-3.635874221155174e-05,8.975606723852174e-05,4.5977944654351416e-05,1.78314938865395e-05,-2.2327927819194075e-05,2.6419075509455306e-05,8.77828475961027e-05,8.027064618153878e-05,7.173691063911586e-05,8.897975047611982e-05,-2.4330963053162417e-05,4.936701187038775e-05,7.237314411825045e-05,1.4716859632748458e-05,2.4845847189138883e-05,3.8444206459639546e-05,1.0162232385044784e-05,3.2965477740341713e-07,8.057699654804113e-05,6.664357293277462e-06,5.1081925364143284e-05,8.823716771355565e-06,-2.05748322847912e-05,7.143860814125251e-05,6.937964767653289e-05,8.074597602917503e-05,2.3001814861398496e-05,5.377025284776771e-05,1.7739885963239608e-05,1.6628129519108936e-05,4.48182919004915e-05,8.450402504099521e-05
ATO.N,3.630493777594649e-05,8.354073854336206e-06,3.302507458717999e-05,5.4815338984631085e-05,5.932571912066802e-05,4.2024522206885115e-06,3.7804640864780974e-05,1.2938989152394857e-05,0.00012676198612318357,-1.646046919527477e-05,4.953347656922815e-05,5.0618707028319655e-05,8.141473690920713e-05,-0.00011248637270976272,5.5367278823778065e-05,7.450939505723866e-05,4.4217746592641246e-05,1.6011585466006723e-05,6.952523134599558e-05,8.942391224372446e-05,1.3357733493616313e-05,3.891887712334897e-05,1.0754878232887036e-05,3.237032234710802e-05,5.160164030486767e-05,9.892772926491518e-05,5.586382941794052e-05,7.049454716764048e-05,-2.4002864624617804e-05,0.00014136427853610317,6.02756671313468e-05,6.8479244562475e-05,6.163987348376515e-05,6.17711102718535e-05,2.1885421297440278e-05,3.1103578120926406e-05,1.9114215795033048e-05,3.260638927293366e-05,3.459799192966765e-05,-2.413322599483609e-06,3.888594279411244e-05,6.155448952050847e-05,3.551451112471785e-05,4.542373497325197e-05,3.1776593799412285e-05,2.3357793700625345e-05,7.977568036004723e-05,-2.3861456738655375e-05,5.7508869973780385e-05,2.312205941502337e-05,2.4608078349776095e-05,7.344888147731019e-05,3.485515391143765e-05,3.554016091212408e-05,1.4426059779867209e-05,4.717382169343669e-05,1.8010164160513815e-05,3.954841208515542e-05,6.827534370356328e-05,7.017028703940604e-06,5.915467198982024e-05,-6.610776133763225e-06,3.4682475197569605e-05,2.8396339664245232e-06,2.358458194792203e-05
BDX.N,1.1213127776107609e-05,4.657688988528304e-06,1.650288021000306e-06,4.278201804156791e-06,-2.182155444180535e-05,-0.00016543141810344017,-5.656373240484077e-07,2.30335463392167e-05,-1.646046919527477e-05,0.0001655850497066701,-7.037465531331095e-05,-3.069374753398076e-05,7.909236828313474e-06,0.000347852049759431,-4.488957434029606e-05,1.1330157017657249e-06,2.6107503422550424e-05,-5.430888069709936e-06,-1.233412844880465e-05,-1.8761514295835986e-05,2.7867196169546742e-05,4.373135442423086e-06,-2.91654860504845e-05,8.388846026230709e-06,1.7943121237898573e-05,2.599212238798819e-05,-1.205448730040357e-05,-4.391857355714779e-06,9.197574323142136e-06,-0.00012153803437356639,8.965031744242958e-06,1.6236464517782622e-05,-1.983855816756655e-06,1.7361001469178995e-05,3.5385848363850094e-06,4.9588216113949905e-06,3.925903016372869e-06,2.482392317401587e-05,-1.4640042082483644e-05,2.3155882324624097e-05,3.945376395028605e-06,1.6638222456490914e-05,4.010701260041778e-05,4.286284160990341e-06,-2.3235975091757715e-05,9.246581553467417e-06,1.6799683438800957e-05,7.108017659751738e-05,-8.851793189360983e-06,8.493815856840123e-06,1.5172540170709836e-05,6.043849481632397e-05,1.9027259291954416e-05,1.9731299041704646e-05,3.260761159267142e-05,3.1388568335759624e-05,2.0918726349934472e-05,-3.4607344239452816e-05,-5.7429775963536293e-05,-1.038629728292686e-05,-3.655727714093324e-05,-4.064879385789882e-05,-3.942446963230124e-05,7.164160219890027e-05,-4.0819370841507394e-05
BEN.N,3.8148889278107174e-05,9.484794937508451e-06,0.0001651954018492393,9.531133282947151e-05,0.00022977339367575826,0.00036053416055891645,0.00015716732105047304,2.7589412777200898e-05,4.953347656922815e-05,-7.037465531331095e-05,0.0004624644834284217,8.234731378022319e-05,9.568777286522112e-05,-1.259821562264697e-05,0.00023656245478584232,0.00021067747291354731,-3.8078475394371476e-05,6.384355523424915e-05,0.00024527517725146187,1.0068923416994797e-05,-0.00024232959818085072,9.033204680141179e-05,0.00020737099947493057,0.00016789954405658643,7.153675855376742e-05,2.5813547336163963e-05,0.00019446119799104006,5.891069085992699e-05,4.705845335399608e-05,0.0002457001030849585,0.00012781289455227694,0.00016147017961780087,0.00011492004978086872,-3.615249734489769e-05,0.00010979624182640129,0.00011341233905278088,4.743275252652164e-05,-3.377787384347467e-05,8.326058771855243e-06,8.613822231393505e-05,7.149772886860386e-05,5.014889196563373e-05,6.292672067770199e-05,-4.043947853715661e-05,0.0001002736521720061,8.078394955863012e-05,-1.0460129209455298e-05,0.00035799868058721836,8.466116308301383e-05,-7.250754352966975e-05,5.268635354971618e-06,0.00016111324662067522,6.328130478735928e-05,3.809236591320075e-05,7.24614129944949e-07,-1.8273666489633966e-05,6.0128107612350926e-05,0.00019240807382358554,0.0002017262513455767,8.861445436675118e-05,0.0002637881928129074,0.00013398685611629336,2.4135880302677404e-05,6.787683724713596e-05,0.00025975237595272883
BFb.N,1.3863006145945799e-05,8.601797446325773e-06,4.3255169231655014e-05,3.537131688206721e-05,6.113938675368466e-05,3.622906059211001e-05,5.6874168919495604e-05,2.7198075917560852e-05,5.0618707028319655e-05,-3.069374753398076e-05,8.234731378022319e-05,6.989441372440852e-05,3.5706689571277405e-05,-3.772376136123683e-05,6.159205668133538e-05,6.179864851188098e-05,3.6478755726516603e-06,3.964238790710007e-05,5.236189007602277e-05,3.555310750182084e-05,-4.3722930807638085e-05,3.171525390098756e-05,4.9808869567428346e-05,5.1979615699899496e-05,3.539497322651032e-05,2.806374757842599e-05,6.126684584860469e-05,6.417743431393298e-05,1.7936154230046827e-05,0.00012653766800045562,4.992415382793294e-05,8.096538299050484e-05,4.847642054371896e-05,1.426713602689455e-05,4.008289961793646e-05,3.116587179738559e-05,2.6255470758664674e-05,-9.742155248865158e-07,3.376235757092193e-05,2.4815252137624983e-05,2.0546733478535148e-05,3.866637715149284e-05,4.790584619369723e-05,1.5215727366543248e-05,5.472128511908043e-05,3.317022575634569e-05,1.3667334564748665e-05,3.3483653291118784e-05,4.6621947311787715e-05,6.502372312527335e-06,1.8114802468916406e-05,5.95212154151235e-05,1.0814283378234678e-05,3.3891726401346766e-05,-8.80400881099608e-07,1.2973987691111013e-05,-2.0669860398293238e-06,5.2608932937527126e-05,8.729901266927822e-05,2.4525070564629626e-05,6.27917803829759e-05,3.173320830131811e-05,2.1792061643688862e-05,-3.514017955944942e-05,5.5526072933504894e-05
BRO.N,3.666872504645476e-05,2.891886039070007e-06,6.382507222639576e-05,5.287693622960687e-05,9.192089189008833e-05,8.151668025129801e-05,4.252349049155552e-05,3.281694696118319e-05,8.141473690920713e-05,7.909236828313474e-06,9.568777286522112e-05,3.5706689571277405e-05,9.741877568753658e-05,-9.69099676212014e-06,7.069406912590727e-05,9.649256833382106e-05,4.62728407024851e-05,2.549162112016688e-05,0.00011565127792407809,5.7693372701972655e-05,2.540148415593275e-05,6.599463932437098e-05,3.620153621126813e-05,7.716947265507413e-05,6.948463434118121e-05,7.018987427983443e-05,8.802112119377183e-05,6.551091290115601e-05,2.493919797484145e-05,0.00013546621363824855,7.161490567936882e-05,8.89306254600958e-05,7.034457045715137e-05,4.157414023806279e-05,2.8748806367877232e-05,4.449363017152224e-05,1.8865600494938825e-05,3.072773264523663e-05,3.7394648718883104e-05,4.393227989930784e-05,6.529751188723855e-05,8.60902900470056e-05,4.964788530808192e-05,2.5403054596220896e-05,3.58826356206708e-05,3.9617982766941045e-05,4.8239046339667485e-05,7.39042552044677e-05,5.9746281360087884e-05,1.5794180549994614e-05,2.2401583207300163e-05,6.328207796068291e-05,3.1139752611142876e-05,4.484696755877142e-05,1.1322572842215055e-05,3.581133629028744e-05,4.0206174137439244e-05,7.425779875265693e-05,9.054438313219865e-05,3.6079124916842784e-05,8.086378127219345e-05,1.232678476284187e-05,2.2822525359578617e-05,4.1867547114793334e-05,4.944093348749969e-05
CAH.N,3.7459408971034936e-05,-2.5983852650697997e-05,4.612492560621586e-05,1.2470103506242478e-06,2.4711837658687393e-05,-0.00025180418375481665,6.587968925395294e-05,1.7809235349920052e-05,-0.00011248637270976272,0.000347852049759431,-1.259821562264697e-05,-3.772376136123683e-05,-9.69099676212014e-06,0.001137436742339261,-1.6088425797591948e-05,0.00010286585207939906,-2.3857269609382405e-05,5.234972885809011e-05,6.19782197535084e-05,-7.233764148370648e-05,-6.430579677430081e-06,8.926822159891666e-06,3.6503450649128506e-07,0.00011509061805417115,5.156593412782996e-05,-2.0961983635639335e-05,4.153705790654835e-05,2.9490896694613517e-05,9.534272664726226e-05,-0.0003215885870140639,8.696556935564842e-05,9.949404477659269e-05,5.696232180517812e-05,-1.9691134853748392e-05,5.2933419290083776e-05,7.228105091929933e-05,2.7273960237989218e-05,-5.536818392989027e-06,-1.3055631933430583e-05,7.475200998769771e-05,2.1410605812063745e-07,2.1339920196534643e-05,0.00011614445780072953,-5.711517681619257e-05,2.326834344901316e-05,9.045007334508874e-05,-2.9450848384549906e-05,0.00035520231603150955,-1.7944023785750865e-05,-2.954264280801275e-06,-1.676361247970489e-05,0.000122172234400144,-8.158909808780445e-06,5.669130912075791e-05,3.0247582956187538e-05,-3.1010848501344027e-06,2.5902425766139423e-05,-2.586133666716497e-05,-9.911045502687948e-05,1.7619337828945857e-05,1.2984726081273037e-05,-2.1336500268663338e-05,-0.00012225135006845204,0.00010520818535109865,3.250048652049633e-05
CAT.N,7.864213835331734e-05,1.9993334817723056e-05,0.00010109307607593314,6.945534501083806e-05,0.00016614100482981935,0.00022750067441414728,9.952726137490647e-05,5.130078229541915e-05,5.5367278823778065e-05,-4.488957434029606e-05,0.00023656245478584232,6.159205668133538e-05,7.069406912590727e-05,-1.6088425797591948e-05,0.00020292915724538836,0.00011695841250899918,-1.4829580907162542e-05,1.0610300969518517e-05,0.00014104114853031205,5.6533994531202355e-05,-0.0001761527982767437,7.175372595073747e-05,0.00016987766633028083,0.0001342777408896463,6.666262717212162e-05,1.4311043582905889e-05,0.00014391846263496732,6.78585365009752e-05,2.116623485562674e-05,0.00019400028980140257,0.00012613400507349173,0.00010985872982175512,0.00012590030428324153,-1.597007129321736e-05,8.767788665183711e-05,8.719375015532427e-05,3.981701279278019e-05,-2.3092684817328958e-05,2.43606105490386e-05,3.81122612957036e-05,8.108272691137482e-05,6.821580343405169e-05,7.848468796049475e-05,-4.467297762204208e-05,7.14856284278804e-05,6.443088439675935e-05,-3.425048531004545e-06,0.00019181653318120617,5.9502663576958194e-05,-1.301522057588869e-05,-2.287380812483877e-05,8.819167612810599e-05,8.452542291119895e-06,4.0807529027044425e-05,-4.003270276699833e-06,-8.729450182641893e-06,1.7663196997982407e-05,0.00011380682636260202,0.00015554741852871282,6.769050290881073e-05,0.0001527339546729164,0.0001026354093560442,2.7705479150477182e-05,9.447680530630672e-06,0.00021402887167799455
CB.N,3.2187488773835765e-05,-2.8732852068861864e-05,9.828986062440018e-05,8.495313672551781e-05,0.0001587948975965994,0.0001485900091079248,0.00012189090331971846,6.29931805804082e-05,7.450939505723866e-05,1.1330157017657249e-06,0.00021067747291354731,6.179864851188098e-05,9.649256833382106e-05,0.00010286585207939906,0.00011695841250899918,0.0002407584689120537,-1.5309157653116943e-05,7.448653830614702e-05,0.0002195337235172048,-1.4523802588892232e-05,-0.0001388925588922712,0.00010153964349736895,9.742841774575107e-05,0.00020826572237822341,0.0001035283122208362,5.3127679347872093e-05,0.00017761016278057017,0.00010776000740395393,4.767907336242604e-05,0.00023300944072383054,0.00013840822940380505,0.0001470020644477078,7.815373977368886e-05,4.797643437485697e-06,8.23324130444498e-05,0.00010796103397818351,3.9821629076132423e-05,-4.974636598682362e-06,4.9952503531711605e-05,9.948221065443391e-05,5.5117352735362296e-05,9.7748328318148e-05,0.00010650293210474563,-1.375643681539929e-05,9.056357162050982e-05,9.339541127980509e-05,3.578342831759512e-05,0.00014318338386099858,9.988215513515906e-05,2.5345997188546697e-06,3.104148030164461e-05,0.00017336213057358201,1.4318164890130932e-06,7.97714032729986e-05,-1.0691170759703724e-06,-6.320687125692554e-06,8.07059018058991e-05,0.00012959584124231613,0.00012486749604322168,3.738333941043401e-05,0.00017851715129128516,5.331392940099436e-05,2.050497075953429e-05,1.4577560346528122e-05,0.00012146023158102034
