Instrument,ABBV.N,ABT.N,ADM.N,ADP.O,AFL.N,ALB.N,AOS.N,APD.N,ATO.N,BDX.N,BEN.N,BFb.N,BRO.N,CAH.N,CAT.N,CB.N,CHD.N,CHRW.O,CINF.O,CL.N,CLX.N,CTAS.O,CVX.N,DOV.N,ECL.N,ED.N,EMR.N,ESS.N,EXPD.O,FRT.N,GD.N,GPC.N,GWW.N,HRL.N,IBM.N,ITW.N,JNJ.N,KMB.N,KO.N,LIN.N,LOW.N,MCD.N,MDT.N,MKC.N,MMM.N,NDSN.O,NEE.N,NUE.N,O.N,PEP.O,PG.N,PNR.N,PPG.N,ROP.O,SHW.N,SJM.N,SPGI.N,SWK.N,SYY.N,TGT.N,TROW.O,WBA.O,WMT.N,WST.N,XOM.N
CHD.N,3.922278613683395e-06,2.6426442415748527e-05,2.3598816261857673e-05,1.12805352818445e-05,-4.794641204430721e-06,-4.7276471163862936e-05,-7.081645431846099e-06,-1.598512968397267e-05,4.4217746592641246e-05,2.6107503422550424e-05,-3.8078475394371476e-05,3.6478755726516603e-06,4.62728407024851e-05,-2.3857269609382405e-05,-1.4829580907162542e-05,-1.5309157653116943e-05,8.635411702557981e-05,3.977947376216342e-06,1.827990497278261e-05,5.476705592885025e-05,9.018562661988394e-05,2.793973434337948e-05,-5.3059227022348655e-05,-2.4709353491210387e-05,2.373353625550186e-05,5.0143791962973985e-05,-9.478228758560798e-06,1.180985143421182e-05,7.170431969241676e-06,-1.7076051586701585e-06,-8.402664579013334e-06,3.027987612230947e-05,2.6016595086056878e-05,6.593725887653921e-05,-2.089948488920595e-05,1.0672274318248153e-06,1.075862111349492e-06,6.924120249986866e-05,9.965973931226242e-06,-1.0044025947437172e-05,2.606690256109825e-05,2.3467299380246567e-05,1.3812244625723456e-07,6.562773075591262e-05,1.0290470885289824e-06,-8.847068514066147e-06,4.0717889349393286e-05,9.208837239707871e-06,1.7902070596548974e-05,3.608377948207852e-05,4.252602659087731e-05,2.4337422935835266e-06,2.1078277237810444e-05,8.674147664263404e-06,2.4126436882635296e-05,8.421061257948538e-05,-9.094877565640225e-06,1.2677241926709486e-05,9.129592067009515e-06,1.8371441092218036e-05,-2.9598068961802235e-05,-1.4005528886391036e-05,1.9298193006028163e-05,3.683113387225615e-05,-5.772792124918991e-05
CHRW.O,-3.7960655383371074e-06,2.7258136040287432e-06,5.06447286918402e-05,4.408451310501063e-05,6.843037932027453e-05,-3.195189461243189e-05,9.170212434234688e-05,6.326638489018335e-05,1.6011585466006723e-05,-5.430888069709936e-06,6.384355523424915e-05,3.964238790710007e-05,2.549162112016688e-05,5.234972885809011e-05,1.0610300969518517e-05,7.448653830614702e-05,3.977947376216342e-06,0.00016389850247434492,9.45344403986579e-05,3.5777856398602885e-05,-9.407111957707128e-05,-3.552499299133892e-06,3.138381147691187e-05,4.616177938213034e-05,3.766852212981723e-05,2.0157388518621294e-05,5.13362281749435e-05,5.294375439991077e-05,7.49533452111355e-05,6.271174304157543e-05,3.296898428518011e-05,0.00011742722833395862,5.458661039636688e-05,2.3844836010148282e-05,6.392628067005287e-05,6.334356393423077e-05,3.240832037280114e-05,2.7719146178092183e-05,5.8582618905070425e-05,3.788749986325116e-05,5.130949606229025e-05,3.052134147925787e-05,3.504598045831181e-05,2.533866880064376e-05,8.780083280520602e-05,4.169571416627783e-05,1.6951023658581764e-05,6.163042518623619e-05,2.859698696150054e-05,4.1186449745440164e-05,5.457083927671024e-05,7.538762449174349e-05,4.7706338794813554e-05,5.151836421386404e-05,2.1522956358399874e-05,3.541020527786426e-05,3.612167033108587e-05,0.00010612187951368463,2.7924685063582124e-05,4.9993526110786806e-05,4.30950805305819e-05,1.173714925696855e-05,2.7615475898531583e-05,1.8751509664673475e-05,3.249797551213165e-05
CINF.O,3.5286922180365125e-05,-7.371493147265989e-06,0.00015494499506151527,8.6324086563923e-05,0.00020813795241650672,0.00024249948947443353,0.00013089484928088544,6.63345542973241e-05,6.952523134599558e-05,-1.233412844880465e-05,0.00024527517725146187,5.236189007602277e-05,0.00011565127792407809,6.19782197535084e-05,0.00014104114853031205,0.0002195337235172048,1.827990497278261e-05,9.45344403986579e-05,0.000316938946605262,3.260116537657897e-05,-5.543054371697066e-05,9.465433228198037e-05,0.0001579249317874219,0.00016568587055056628,0.00010163883513374144,3.985536848581467e-05,0.00017834709522289067,9.729047367893948e-05,7.329490627062026e-05,0.00024144858751695296,0.0001446146225372576,0.00017234067006088259,9.731996115642532e-05,3.2995431317015034e-05,8.37834361423053e-05,0.00010806402644122974,2.7672376318326603e-05,1.7682290665988994e-05,6.172677225305705e-05,6.921756481795707e-05,7.512668786326674e-05,0.00010628500030173817,0.00010735792534558547,-4.478898768587134e-06,8.624332602677866e-05,9.973083964244407e-05,2.438416675150402e-05,0.00020086022149934775,7.463384964275084e-05,1.9901495099933566e-05,3.688936746738885e-05,0.00015242710711648255,3.18361767745351e-05,5.849160113509117e-05,7.5817167946653735e-06,2.6748283069448038e-05,9.302795587450237e-05,0.00016475143564123962,0.00016589016205969566,4.780782335178873e-05,0.0001688735709760503,7.749768454325736e-05,2.2869082786081742e-05,7.402768841478908e-05,0.00018985464629779858
CL.N,5.6076091712877e-05,1.972186224235318e-05,1.360958251754053e-05,1.9234289454077676e-05,4.6168535371945895e-05,-5.228209577232664e-05,1.1244683693549118e-05,-8.68094120126427e-06,8.942391224372446e-05,-1.8761514295835986e-05,1.0068923416994797e-05,3.555310750182084e-05,5.7693372701972655e-05,-7.233764148370648e-05,5.6533994531202355e-05,-1.4523802588892232e-05,5.476705592885025e-05,3.5777856398602885e-05,3.260116537657897e-05,0.00018251608738231533,8.046060100704521e-05,3.841115210799602e-06,2.0342735688131914e-05,-6.347201376128621e-05,1.8884762265575548e-05,6.957702936762312e-05,-1.9888417450734838e-05,4.108355328852969e-05,-1.9287673374601688e-05,3.625705196192547e-05,2.5835574870026323e-05,5.297348591086512e-05,9.343601656295093e-05,7.612834057574104e-05,2.1722169853649188e-05,2.0211711991351883e-05,9.43647831133937e-06,5.100803297027002e-05,3.979929943812693e-05,-6.950194888109078e-05,4.205446086423835e-05,3.447318541357459e-05,-5.356892940427489e-06,4.34038431979766e-05,1.9114150321676114e-05,-8.45438829501219e-06,4.970159844968737e-05,-1.6058016696736422e-05,1.3982794120185303e-05,3.548560492630296e-05,3.5420194715031475e-06,-2.8074877230080154e-05,5.1154830641845554e-05,4.690189403175028e-06,1.635076748970482e-05,6.326948775125667e-05,-2.7909513765797588e-05,3.298870684983042e-05,4.050197928092883e-05,2.084119869508055e-05,-1.154963902129206e-05,-1.8827596235597655e-06,2.3169929984550046e-05,-2.0316599776023565e-05,5.051725162381011e-05
CLX.N,-5.197257424200455e-05,-1.7500944323183135e-05,-8.082611239935206e-05,-0.00010961678239364598,-0.0001460510224862502,-0.00010709102493439852,-0.00018223578937308425,-0.00012123128822694473,1.3357733493616313e-05,2.7867196169546742e-05,-0.00024232959818085072,-4.3722930807638085e-05,2.540148415593275e-05,-6.430579677430081e-06,-0.0001761527982767437,-0.0001388925588922712,9.018562661988394e-05,-9.407111957707128e-05,-5.543054371697066e-05,8.046060100704521e-05,0.0006433000037523031,-1.1516673925092555e-05,-0.00017883266945580492,-0.00020496530092488745,-4.9259146076567885e-05,2.8520262868920212e-05,-0.00016490895333934363,-2.7472350361973822e-05,-1.0609885609490642e-05,-0.0001662764613449066,-0.00010784146952660547,-0.00011087172018875214,-9.246041314218566e-05,8.51932049601875e-05,-0.00015155422559097963,-0.00015958689409518182,-7.03836748191054e-05,3.036711105093164e-05,-7.18959886778473e-06,-8.980547817042947e-05,-7.49267800724908e-05,2.252290295422187e-05,-8.786633888519825e-05,8.004335562508127e-05,-0.000131977659679684,-5.933726837532559e-05,2.4361096623241403e-05,-0.0002442337333526498,-5.613589753032664e-05,8.747832626228352e-06,-2.856408339855446e-05,-0.0002415508776516844,-1.9599207173522244e-05,-7.24059032713898e-05,-2.4821377305627417e-05,4.377865201256791e-06,-3.1163242847641796e-05,-0.00013158425868267683,-5.264293237937186e-05,-8.337608499637819e-05,-0.00014581217700124468,-0.0001234206513228754,-5.1240916106398915e-05,-6.590641090972069e-07,-0.0001864973465452236
CTAS.O,5.043502489852735e-05,5.0528012364090046e-05,2.777973793136347e-05,1.782489530803883e-05,8.169826070224265e-05,5.1013341608955405e-05,4.2927972142119867e-05,3.630236198093126e-05,3.891887712334897e-05,4.373135442423086e-06,9.033204680141179e-05,3.171525390098756e-05,6.599463932437098e-05,8.926822159891666e-06,7.175372595073747e-05,0.00010153964349736895,2.793973434337948e-05,-3.552499299133892e-06,9.465433228198037e-05,3.841115210799602e-06,-1.1516673925092555e-05,0.0002985982128173015,6.6265800177850725e-06,0.00013154371981392762,7.147297268751819e-05,2.241318459022906e-05,0.00010063023367835179,8.270535651338708e-05,5.0295873944953175e-05,0.00019729374506500844,9.620366772867799e-05,6.850576815571217e-05,4.466347608251808e-05,-1.2449725383328683e-05,7.746707899307979e-08,3.229665015565056e-05,4.635017786926067e-05,3.048124112435948e-05,8.436947182104512e-06,6.886783659116549e-05,6.519804598082145e-05,4.939487335516862e-05,0.00012178172368967606,2.020583434090937e-06,2.7011540775036016e-06,6.011091106191835e-05,3.244319509614096e-05,-4.756441295633966e-06,7.508761454598397e-05,-1.9228384212782273e-05,2.021835038345255e-05,4.219021450501662e-05,-4.7260196596628325e-05,6.159001488597721e-05,2.1230032632621416e-05,-8.351123857213004e-06,7.483665186016468e-05,2.2625851737442892e-05,0.00011635605422771322,4.247498610251175e-05,0.000128452229063692,5.430183388911445e-05,1.631880863136409e-05,6.224166146169716e-05,1.6790605555352597e-05
CVX.N,6.187607824141189e-05,-1.6116069488412072e-06,0.00010668699372352557,7.21431035189018e-05,0.00016669602110292033,0.00021525198829871542,0.00010376711102167545,9.777721440747486e-05,1.0754878232887036e-05,-2.91654860504845e-05,0.00020737099947493057,4.9808869567428346e-05,3.620153621126813e-05,3.6503450649128506e-07,0.00016987766633028083,9.742841774575107e-05,-5.3059227022348655e-05,3.138381147691187e-05,0.0001579249317874219,2.0342735688131914e-05,-0.00017883266945580492,6.6265800177850725e-06,0.0002532629572358397,9.48945954696964e-05,5.8607195885504245e-05,-2.702178448627138e-05,0.00013944195563277088,4.340850338795869e-05,3.154065377084624e-05,0.00018328995100146781,0.0001107237938640168,9.71928622016187e-05,6.71055075182157e-05,-4.3754193874580474e-05,0.00010552707674605609,7.209752703077567e-05,3.390276248253575e-05,-5.68816339579864e-05,4.47174558390516e-05,5.989035238181493e-05,6.372454768558066e-05,7.527376721918296e-05,9.58923949393596e-05,-8.384392755944844e-05,6.632677029033053e-05,6.12352632285725e-05,-4.3631014130694366e-05,0.00020163079136211216,2.4745865938502108e-05,-5.260886005983448e-06,-1.4185802621304294e-05,9.398719296427822e-05,6.726397082400217e-05,2.1070859023224213e-05,-3.7183777293554085e-06,-4.018394393703965e-05,2.3796270556162385e-05,0.00011274936655850027,0.00013715779212504354,4.323786837131332e-05,0.00011376309824321718,0.00011330915377976156,1.3256477577144741e-05,4.610150445991401e-06,0.0002746128399253468
DOV.N,4.69531327321223e-05,-1.3176063837350522e-05,7.555952708158066e-05,7.116926782169251e-05,0.00015430490482548414,0.00019984486181074464,0.00011110403304408059,0.00010744023317599066,3.237032234710802e-05,8.388846026230709e-06,0.00016789954405658643,5.1979615699899496e-05,7.716947265507413e-05,0.00011509061805417115,0.0001342777408896463,0.00020826572237822341,-2.4709353491210387e-05,4.616177938213034e-05,0.00016568587055056628,-6.347201376128621e-05,-0.00020496530092488745,0.00013154371981392762,9.48945954696964e-05,0.00029193605407231945,0.00010091980350797515,1.3451530435538554e-06,0.00020266780253178442,0.0001122170663007503,8.31245367830352e-05,0.00024648689692637694,0.00015319880779812833,0.00014035891500998698,0.00010573310238028018,-3.942134070311535e-05,8.364922502084061e-05,0.00011297477889105858,5.389963902999794e-05,-2.606238587553652e-05,3.822985643270368e-05,0.00012345554806239225,8.016880580678689e-05,0.00011443740713422546,0.00013460495513837136,-5.063117259981794e-05,9.83021126101953e-05,0.00011654226870654338,5.488485619366502e-06,0.00012801393513643555,0.00010168221623055907,4.879916690911929e-06,3.6694837716254367e-06,0.00016450454816116706,-9.361097376476299e-05,0.00010775399746191964,-2.0458277773144702e-05,-2.9078832345425197e-05,0.00010008536370335426,0.00012631140918656583,0.00014876886588865672,7.47900547935558e-05,0.00017578884777951902,6.589984875266902e-05,2.8416394599477002e-05,3.74150141380146e-05,0.00010915957084528257
ECL.N,3.798989082203509e-05,-3.4585882534765427e-06,6.199933301379654e-05,5.5371891045740816e-05,8.894629628094384e-05,5.322301525155924e-05,6.572409568653785e-05,6.570669234422054e-05,5.160164030486767e-05,1.7943121237898573e-05,7.153675855376742e-05,3.539497322651032e-05,6.948463434118121e-05,5.156593412782996e-05,6.666262717212162e-05,0.0001035283122208362,2.373353625550186e-05,3.766852212981723e-05,0.00010163883513374144,1.8884762265575548e-05,-4.9259146076567885e-05,7.147297268751819e-05,5.8607195885504245e-05,0.00010091980350797515,8.342567550367174e-05,3.837641046870073e-05,0.00010755181272438031,7.00223506216509e-05,4.135009716660547e-05,0.00013485177593558332,8.491668370697798e-05,8.726968742654958e-05,5.759488741931357e-05,9.916561306187819e-06,4.59726311847802e-05,5.694623266030067e-05,3.0733394555841915e-05,1.3984498419559779e-05,4.133101445561881e-05,7.79869013437929e-05,5.89732545424003e-05,8.644074761703145e-05,7.899415714243594e-05,1.1682104355039204e-06,5.1768903514166976e-05,5.0450211414790385e-05,2.90342987189653e-05,9.238200816184111e-05,5.9602786472429875e-05,2.365222952286298e-05,2.5766488606907887e-05,8.548187240393501e-05,2.645436793971071e-05,5.248763447602137e-05,1.1089089087740442e-05,1.2522405497645991e-05,3.3190046220395945e-05,7.083941640125009e-05,8.173559376226996e-05,4.015517697348634e-05,7.232204049752244e-05,3.2594979915475654e-05,2.2172369788887666e-05,2.5566302089995745e-05,6.627167847246681e-05
ED.N,2.0066201800768615e-05,5.488293121109396e-06,2.6298425383926344e-05,4.110361321096924e-05,2.4796952102659325e-05,-6.114936120548926e-05,1.5917051702595422e-05,-3.862051563313935e-06,9.892772926491518e-05,2.599212238798819e-05,2.5813547336163963e-05,2.806374757842599e-05,7.018987427983443e-05,-2.0961983635639335e-05,1.4311043582905889e-05,5.3127679347872093e-05,5.0143791962973985e-05,2.0157388518621294e-05,3.985536848581467e-05,6.957702936762312e-05,2.8520262868920212e-05,2.241318459022906e-05,-2.702178448627138e-05,1.3451530435538554e-06,3.837641046870073e-05,0.00010287962079425425,1.9997218320845172e-05,4.192051465774456e-05,-2.956264644932483e-05,5.9417857021313105e-05,2.8970227779893768e-05,4.984862390519901e-05,3.528524100867823e-05,6.530098627230554e-05,7.514640059025829e-06,1.9361111120201673e-05,1.2013598480114669e-05,4.593270237793001e-05,2.309760430441358e-05,-3.1342374050596456e-06,2.605799421328752e-05,4.0276867494683006e-05,1.9594179425604554e-05,5.517595739407735e-05,1.3361098574211615e-05,-9.499840776690687e-07,7.503003106999919e-05,1.0200685162146614e-06,4.0192645976649454e-05,1.749473829168154e-05,3.061399850782373e-05,6.596735624139398e-05,5.810806489248486e-05,2.5957655073936907e-05,2.525974333223227e-05,5.911909223206354e-05,1.0556811762855903e-05,1.6936215402348958e-05,1.7276239309461416e-05,-3.3874661146635994e-06,2.940765591175011e-05,-2.7844959435606076e-05,1.7599910919237222e-05,1.5749805896303014e-05,-2.1951691370785763e-05
EMR.N,5.432623575767819e-05,8.856500221653667e-07,0.00010629020975494224,9.797904343539615e-05,0.00017773576911973547,0.00020265029174909878,0.00013098203669824587,9.675585109081546e-05,5.586382941794052e-05,-1.205448730040357e-05,0.00019446119799104006,6.126684584860469e-05,8.802112119377183e-05,4.153705790654835e-05,0.00014391846263496732,0.00017761016278057017,-9.478228758560798e-06,5.13362281749435e-05,0.00017834709522289067,-1.9888417450734838e-05,-0.00016490895333934363,0.00010063023367835179,0.00013944195563277088,0.00020266780253178442,0.00010755181272438031,1.9997218320845172e-05,0.00020756729280542119,9.972646194510858e-05,7.779815328380892e-05,0.00024370045068747534,0.00014412865358902843,0.00014539152646595314,9.626241796835117e-05,-2.4776856013835714e-05,7.938906160339642e-05,0.00010005697497225506,4.910773583151934e-05,-1.606383235768921e-05,5.4231388448700245e-05,0.00013040996035417518,9.590417309835845e-05,0.00010926131334925976,0.00011592482891494388,-3.716945801137422e-05,9.302851685796369e-05,0.00010711876042691867,1.6661234329212466e-05,0.00018222116169501804,8.684159048054725e-05,8.745084035406858e-06,2.502416258181393e-05,0.00015085643815354165,8.899600340207372e-06,8.581851440655103e-05,2.52718323778407e-06,-1.6628404848679043e-05,7.843009551915132e-05,0.00012931966168812424,0.00015870105593115069,7.95733541406853e-05,0.0001687284181564446,7.576328261387215e-05,3.4235899911084846e-05,6.295255036043853e-05,0.0001532855353519818
ESS.N,3.4276756272298903e-05,-3.6120356157841903e-06,4.6147133241440576e-05,4.265761146466856e-05,8.926864279689465e-05,5.058593535773213e-05,6.05814298920489e-05,8.047931439164323e-05,7.049454716764048e-05,-4.391857355714779e-06,5.891069085992699e-05,6.417743431393298e-05,6.551091290115601e-05,2.9490896694613517e-05,6.78585365009752e-05,0.00010776000740395393,1.180985143421182e-05,5.294375439991077e-05,9.729047367893948e-05,4.108355328852969e-05,-2.7472350361973822e-05,8.270535651338708e-05,4.340850338795869e-05,0.0001122170663007503,7.00223506216509e-05,4.192051465774456e-05,9.972646194510858e-05,0.00010994598620944208,4.4397234800532555e-05,0.00016864510330784842,9.80402886902735e-05,9.946761935438707e-05,7.335594579236083e-05,1.5211769045927405e-05,5.404006742667531e-05,5.1844197508935477e-05,2.8097262865986355e-05,5.859566156558937e-06,4.5538729591012066e-05,4.9102045680456324e-05,5.6879857977116364e-05,7.373187359913338e-05,8.611019482803459e-05,1.3711645007262412e-05,6.175602517532184e-05,7.351777945093815e-05,4.372552058251823e-05,9.600915166056351e-06,6.715853362718531e-05,1.8109602684762477e-05,1.2073162458823578e-05,7.616943830587653e-05,-1.4796772350171754e-05,6.12353204534826e-05,-2.6939924439556664e-07,9.335491007681653e-06,4.462769950213339e-05,6.164169088080449e-05,0.00010315937666617439,2.6167808679062718e-05,8.685560543978784e-05,1.7893647687887806e-05,2.2399317530326882e-05,-2.8054457546557406e-07,5.3761005872060964e-05
EXPD.O,2.525779066594734e-06,1.3085933068769163e-05,3.889555610315343e-05,2.3572673865220566e-05,6.1022696978370735e-05,6.977226606411077e-05,5.902848994185153e-05,6.524969821305223e-05,-2.4002864624617804e-05,9.197574323142136e-06,4.705845335399608e-05,1.7936154230046827e-05,2.493919797484145e-05,9.534272664726226e-05,2.116623485562674e-05,4.767907336242604e-05,7.170431969241676e-06,7.49533452111355e-05,7.329490627062026e-05,-1.9287673374601688e-05,-1.0609885609490642e-05,5.0295873944953175e-05,3.154065377084624e-05,8.31245367830352e-05,4.135009716660547e-05,-2.956264644932483e-05,7.779815328380892e-05,4.4397234800532555e-05,0.00011002566451547587,5.04508570137917e-05,3.603308490231395e-05,8.233236542032422e-05,4.0559331311776275e-05,-1.6452524026506396e-05,3.270785534558145e-05,3.192381212598211e-05,2.013764030595698e-05,1.22197134792103e-07,2.6604027273606216e-05,7.877997828371125e-05,7.041826796653099e-05,4.503084373376819e-05,3.8216137445099086e-05,-5.553089188537017e-06,5.128689072511966e-05,6.972268035052747e-05,-1.3012886641547762e-05,7.44166154457502e-05,2.741639558512673e-05,1.5770603402533458e-05,2.9021445096647235e-05,1.1450316450715647e-05,-1.3853529023569286e-05,4.5396605814522304e-05,6.498668037610737e-06,-5.132785582853568e-06,4.943698980461766e-05,8.426736473837675e-05,5.830105047520568e-05,6.53834969690823e-05,5.8102815279136384e-05,2.50040812935177e-05,1.0832943958768816e-05,6.135741958137308e-05,2.9120452235930228e-05
FRT.N,6.296398045550582e-05,2.664570538410816e-06,0.00012042756558696305,0.00010935030697536408,0.000229809315510986,0.0002926946352575101,0.00014033434185428665,0.00014452190609874776,0.00014136427853610317,-0.00012153803437356639,0.0002457001030849585,0.00012653766800045562,0.00013546621363824855,-0.0003215885870140639,0.00019400028980140257,0.00023300944072383054,-1.7076051586701585e-06,6.271174304157543e-05,0.00024144858751695296,3.625705196192547e-05,-0.0001662764613449066,0.00019729374506500844,0.00018328995100146781,0.00024648689692637694,0.00013485177593558332,5.9417857021313105e-05,0.00024370045068747534,0.00016864510330784842,5.04508570137917e-05,0.0005084573020386188,0.0001896300818447019,0.00017837525238041148,0.0001133651661860451,-5.7077794768321035e-06,0.00010000422424687987,0.0001065538175606047,6.421679981085604e-05,-1.1796427315720743e-05,9.068579680538458e-05,0.00012183106268165303,9.554025856611772e-05,0.0001614886979220798,0.00016848220746096908,-1.4594854907282437e-05,0.00011183080636589268,0.0001063720546932013,4.5539805915033234e-05,3.531439572478228e-05,0.00014270038484167204,1.1879393197363231e-05,3.090807597962081e-05,0.0001847469571338128,-1.238994645668694e-05,0.00010684368016252596,-1.3567811257500024e-05,-1.758847082293709e-05,0.000102267408934623,0.00016264141766981005,0.0002811956860362973,6.452294709548166e-05,0.0002183225968300759,0.0001012422583968997,8.031148384164508e-05,-6.6529141575473144e-06,0.00019029485143682093
GD.N,6.291860980560569e-05,-2.3283672932861547e-06,8.058074307801174e-05,6.044983661932534e-05,0.00014479921608572102,0.00012417867847411247,9.368191619450611e-05,8.653842106544896e-05,6.02756671313468e-05,8.965031744242958e-06,0.00012781289455227694,4.992415382793294e-05,7.161490567936882e-05,8.696556935564842e-05,0.00012613400507349173,0.00013840822940380505,-8.402664579013334e-06,3.296898428518011e-05,0.0001446146225372576,2.5835574870026323e-05,-0.00010784146952660547,9.620366772867799e-05,0.0001107237938640168,0.00015319880779812833,8.491668370697798e-05,2.8970227779893768e-05,0.00014412865358902843,9.80402886902735e-05,3.603308490231395e-05,0.0001896300818447019,0.0001425285735198325,0.00010740267056270902,0.00010029673555673178,-1.0401809460499825e-05,7.05803057423385e-05,8.206153964583416e-05,3.661387311556762e-05,-1.081633177856556e-05,3.976774917710501e-05,6.494637788634823e-05,5.6668601768008525e-05,8.892643444961198e-05,0.00011293905828249147,-3.086830274040038e-05,6.076275474849027e-05,7.957252878315205e-05,2.6946724130420573e-05,0.00011144993283355343,6.281553660113964e-05,6.360311086193071e-06,-1.2893951218458428e-05,0.00012747244325978023,-1.5772619306612548e-05,6.659312393782144e-05,-1.9196421387710494e-06,-1.6625237022316502e-05,5.944162058909816e-05,7.084252174209814e-05,0.0001320964092550023,3.883036621024325e-05,0.00011817218666819,4.800803670160829e-05,1.5106906778623841e-05,3.6718723713927765e-05,0.00013563388283058456
GPC.N,4.113609238309512e-05,2.691421725304827e-05,0.0001082777504343229,9.151384723994453e-05,0.00015413271994697502,6.129105475080486e-05,0.00014065620340029006,6.41598427157765e-05,6.8479244562475e-05,1.6236464517782622e-05,0.00016147017961780087,8.096538299050484e-05,8.89306254600958e-05,9.949404477659269e-05,0.00010985872982175512,0.0001470020644477078,3.027987612230947e-05,0.00011742722833395862,0.00017234067006088259,5.297348591086512e-05,-0.00011087172018875214,6.850576815571217e-05,9.71928622016187e-05,0.00014035891500998698,8.726968742654958e-05,4.984862390519901e-05,0.00014539152646595314,9.946761935438707e-05,8.233236542032422e-05,0.00017837525238041148,0.00010740267056270902,0.00019206097353678336,0.00012081690034686015,4.082478610579539e-05,8.242638864354504e-05,9.922866447574871e-05,5.2965780358448784e-05,3.30959066373717e-05,7.009748225301059e-05,7.458571723430994e-05,8.913631042456341e-05,9.278544525393469e-05,9.637611272819734e-05,1.8704129623008656e-05,0.00010818236265829774,8.49711629869399e-05,2.7141744869244443e-05,0.00016156272134268076,7.897730241580929e-05,3.993545511983215e-05,6.128797432111493e-05,0.00014610234151506596,2.9880479296147816e-05,8.935289116466726e-05,2.4716252061948715e-05,5.3208633158725674e-05,4.88526927765933e-05,0.00014510995183259463,0.0001325600042788891,8.47563421490237e-05,0.00012344541176022292,5.295974404298255e-05,3.5251776249059875e-05,3.9512389534768005e-05,0.00010974209079939623
